Estimator,MSE,seconds,dataset.kwargs.dataset
DM,0.0174462601355999,0.1747565269470214,optdigits
DR,0.0001945176351866,0.0168075561523437,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0174462601355999,2.3579649925231934,optdigits
B: A + one SE rule,0.0001945176351866,0.4701507091522217,optdigits
C: A + theory split ratio,0.0001945176351866,5.622978687286377,optdigits
D: B + C,0.0001945176351866,6.355762004852295,optdigits
E: D + 100 K training/test splits,0.0001945176351866,37.12687516212464,optdigits
IPS,0.0025287269942544,0.0135066509246826,page-blocks
DM,0.0009965318585085,0.0059664249420166,page-blocks
DR,1.0344897819662157e-06,0.0187709331512451,page-blocks
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,1.0344897819662157e-06,0.5026764869689941,page-blocks
B: A + one SE rule,0.0025287269942544,0.3237576484680176,page-blocks
C: A + theory split ratio,1.0344897819662157e-06,0.9394643306732178,page-blocks
D: B + C,1.0344897819662157e-06,0.874842643737793,page-blocks
E: D + 100 K training/test splits,1.0344897819662157e-06,8.247494459152222,page-blocks
IPS,4.979522984284117e-06,0.0151364803314208,pendigits
DM,0.0469150050506894,0.0128219127655029,pendigits
DR,1.2457138264014658e-06,0.0259053707122802,pendigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,1.2457138264014658e-06,0.8569486141204834,pendigits
B: A + one SE rule,4.979522984284117e-06,0.4412989616394043,pendigits
C: A + theory split ratio,1.2457138264014658e-06,1.103013038635254,pendigits
D: B + C,1.2457138264014658e-06,1.519951105117798,pendigits
E: D + 100 K training/test splits,1.2457138264014658e-06,15.27877926826477,pendigits
IPS,0.0003273846917667,0.0037147998809814,satimage
DM,0.0161047692102752,0.0118203163146972,satimage
DR,4.644407138799741e-06,0.0078639984130859,satimage
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,4.644407138799741e-06,0.414238691329956,satimage
B: A + one SE rule,0.0003273846917667,0.4508113861083984,satimage
C: A + theory split ratio,4.644407138799741e-06,0.8901774883270264,satimage
D: B + C,4.644407138799741e-06,1.0411498546600342,satimage
E: D + 100 K training/test splits,4.644407138799741e-06,12.786340713500977,satimage
IPS,2.6518333325831574e-07,0.0018999576568603,vehicle
DM,0.0066640708032193,0.005491018295288,vehicle
DR,0.0005057713069394,0.0023450851440429,vehicle
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,2.6518333325831574e-07,0.1646649837493896,vehicle
B: A + one SE rule,0.0066640708032193,0.0842711925506591,vehicle
C: A + theory split ratio,0.0005057713069394,0.3521289825439453,vehicle
D: B + C,0.0005057713069394,0.4358754158020019,vehicle
E: D + 100 K training/test splits,0.0005057713069394,4.559590816497803,vehicle
IPS,0.0013433916100758,0.0015299320220947,yeast
DM,0.0003833087442542,0.0038003921508789,yeast
DR,3.689287810014905e-05,0.0035884380340576,yeast
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,3.689287810014905e-05,0.1891365051269531,yeast
B: A + one SE rule,3.689287810014905e-05,0.2131304740905761,yeast
C: A + theory split ratio,3.689287810014905e-05,0.3752124309539795,yeast
D: B + C,3.689287810014905e-05,0.3998293876647949,yeast
E: D + 100 K training/test splits,3.689287810014905e-05,5.089646100997925,yeast
IPS,0.0522554867143505,0.0023379325866699,ecoli
DM,0.0014817927380868,0.0027744770050048,ecoli
DR,0.0049419019083886,0.0066430568695068,ecoli
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0014817927380868,0.1449007987976074,ecoli
B: A + one SE rule,0.0049419019083886,0.0654976367950439,ecoli
C: A + theory split ratio,0.0049419019083886,0.2257988452911377,ecoli
D: B + C,0.0049419019083886,0.2926375865936279,ecoli
E: D + 100 K training/test splits,0.0049419019083886,2.4309139251708984,ecoli
IPS,0.0179845424330408,0.0028188228607177,glass
DM,0.0090785994276703,0.0023934841156005,glass
DR,0.0132430610492505,0.0025608539581298,glass
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0179845424330408,0.1426749229431152,glass
B: A + one SE rule,0.0179845424330408,0.0831849575042724,glass
C: A + theory split ratio,0.0179845424330408,0.4098124504089355,glass
D: B + C,0.0132430610492505,0.4379642009735107,glass
E: D + 100 K training/test splits,0.0132430610492505,4.306757688522339,glass
IPS,7.477705036832157e-05,0.0640223026275634,letter
DM,0.1461446352448466,0.0901124477386474,letter
DR,0.0002639441310773,0.10630464553833,letter
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0002639441310773,2.6571383476257324,letter
B: A + one SE rule,0.0002639441310773,1.793229341506958,letter
C: A + theory split ratio,0.0002639441310773,4.417089462280273,letter
D: B + C,0.0002639441310773,4.076935529708862,letter
E: D + 100 K training/test splits,0.0002639441310773,28.0482177734375,letter
IPS,0.0019341264590284,0.0061590671539306,optdigits
DM,0.015692264884258,0.1623539924621582,optdigits
DR,5.590880013271977e-06,0.0125534534454345,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.015692264884258,2.0459020137786865,optdigits
B: A + one SE rule,5.590880013271977e-06,0.5274043083190918,optdigits
C: A + theory split ratio,5.590880013271977e-06,5.280884027481079,optdigits
D: B + C,5.590880013271977e-06,6.161451578140259,optdigits
E: D + 100 K training/test splits,5.590880013271977e-06,61.594350814819336,optdigits
IPS,5.359800920399829e-06,0.0035524368286132,page-blocks
DM,0.0025774554926299,0.0042381286621093,page-blocks
DR,0.0001320873922356,0.0076982975006103,page-blocks
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0001320873922356,0.2253174781799316,page-blocks
B: A + one SE rule,0.0001320873922356,0.1212894916534423,page-blocks
C: A + theory split ratio,0.0001320873922356,0.5094408988952637,page-blocks
D: B + C,0.0001320873922356,0.5280046463012695,page-blocks
E: D + 100 K training/test splits,0.0001320873922356,5.987927198410034,page-blocks
IPS,0.0005506841089867,0.0204949378967285,pendigits
DM,0.0441232254188846,0.0463635921478271,pendigits
DR,3.937220527565677e-06,0.0372052192687988,pendigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,3.937220527565677e-06,0.6508724689483643,pendigits
B: A + one SE rule,3.937220527565677e-06,0.4093225002288818,pendigits
C: A + theory split ratio,3.937220527565677e-06,1.546234130859375,pendigits
D: B + C,3.937220527565677e-06,1.735543727874756,pendigits
E: D + 100 K training/test splits,3.937220527565677e-06,18.6615686416626,pendigits
IPS,9.083694177370988e-05,0.0049102306365966,satimage
DM,0.014197513530981,0.0184371471405029,satimage
DR,1.1369923894966977e-06,0.0132339000701904,satimage
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,9.083694177370988e-05,0.5870964527130127,satimage
B: A + one SE rule,1.1369923894966977e-06,0.2831506729125976,satimage
C: A + theory split ratio,1.1369923894966977e-06,1.0691094398498535,satimage
D: B + C,1.1369923894966977e-06,1.2160136699676514,satimage
E: D + 100 K training/test splits,1.1369923894966977e-06,11.186987400054932,satimage
IPS,0.0003287930554176,0.0020618438720703,vehicle
DM,0.002091606556971,0.0096080303192138,vehicle
DR,0.0010076730823868,0.0039427280426025,vehicle
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.002091606556971,0.2572720050811767,vehicle
B: A + one SE rule,0.0010076730823868,0.131467580795288,vehicle
C: A + theory split ratio,0.0010076730823868,0.6400291919708252,vehicle
D: B + C,0.0010076730823868,0.5796830654144287,vehicle
E: D + 100 K training/test splits,0.0010076730823868,5.745189428329468,vehicle
IPS,0.0003099588042717,0.0025138854980468,yeast
DM,0.0018279427977309,0.0038337707519531,yeast
DR,0.000891054192609,0.0057616233825683,yeast
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.000891054192609,0.3184130191802978,yeast
B: A + one SE rule,0.0003099588042717,0.1845507621765136,yeast
C: A + theory split ratio,0.0003099588042717,0.7290229797363281,yeast
D: B + C,0.000891054192609,0.7262575626373291,yeast
E: D + 100 K training/test splits,0.000891054192609,4.591324806213379,yeast
IPS,0.0004359107081136,0.0009539127349853,ecoli
DM,0.0001799250068481,0.0031566619873046,ecoli
DR,0.0016331753542208,0.0021529197692871,ecoli
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0004359107081136,0.1084108352661132,ecoli
B: A + one SE rule,0.0001799250068481,0.0500223636627197,ecoli
C: A + theory split ratio,0.0016331753542208,0.486229658126831,ecoli
D: B + C,0.0016331753542208,0.5250885486602783,ecoli
E: D + 100 K training/test splits,0.0016331753542208,3.773413419723511,ecoli
IPS,0.0010848291853236,0.0008060932159423,glass
DM,0.0032192709434754,0.0021495819091796,glass
DR,0.0001371140864612,0.0015504360198974,glass
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0010848291853236,0.163909912109375,glass
B: A + one SE rule,0.0032192709434754,0.0913150310516357,glass
C: A + theory split ratio,0.0032192709434754,0.4710791110992431,glass
D: B + C,0.0001371140864612,0.3836061954498291,glass
E: D + 100 K training/test splits,0.0032192709434754,4.038746118545532,glass
IPS,0.0006617494302479,0.0502820014953613,letter
DM,0.1529098383157824,0.0783178806304931,letter
DR,0.0010455133868964,0.0693159103393554,letter
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0010455133868964,2.61147403717041,letter
B: A + one SE rule,0.0010455133868964,1.9489476680755613,letter
C: A + theory split ratio,0.0010455133868964,5.455076217651367,letter
D: B + C,0.0010455133868964,4.825455188751221,letter
E: D + 100 K training/test splits,0.0010455133868964,36.05248641967773,letter
IPS,4.8085378978144295e-05,0.0057775974273681,optdigits
DM,0.0147262919941222,0.1699404716491699,optdigits
DR,4.774455475504919e-05,0.0270705223083496,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0147262919941222,1.290858268737793,optdigits
B: A + one SE rule,4.774455475504919e-05,0.2457876205444336,optdigits
C: A + theory split ratio,4.774455475504919e-05,2.491529941558838,optdigits
D: B + C,4.774455475504919e-05,2.215627431869507,optdigits
E: D + 100 K training/test splits,4.774455475504919e-05,71.72830104827881,optdigits
IPS,0.0016425202408572,0.0022835731506347,page-blocks
DM,0.0002654816388127,0.0038073062896728,page-blocks
DR,0.0001885618610181,0.0046794414520263,page-blocks
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0016425202408572,0.1790523529052734,page-blocks
B: A + one SE rule,0.0016425202408572,0.144824743270874,page-blocks
C: A + theory split ratio,0.0001885618610181,0.4123384952545166,page-blocks
D: B + C,0.0002654816388127,0.3903491497039795,page-blocks
E: D + 100 K training/test splits,0.0001885618610181,5.183533191680908,page-blocks
IPS,0.000143485589366,0.0038414001464843,pendigits
DM,0.0487551367546502,0.0082964897155761,pendigits
DR,1.4807532753399172e-06,0.0074579715728759,pendigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.000143485589366,0.3406784534454345,pendigits
B: A + one SE rule,1.4807532753399172e-06,0.1525039672851562,pendigits
C: A + theory split ratio,1.4807532753399172e-06,0.5601205825805664,pendigits
D: B + C,1.4807532753399172e-06,0.935188055038452,pendigits
E: D + 100 K training/test splits,1.4807532753399172e-06,9.473097324371338,pendigits
IPS,0.0001666989826052,0.0029387474060058,satimage
DM,0.0177528013243979,0.0112578868865966,satimage
DR,0.0001826354204788,0.0067522525787353,satimage
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0001826354204788,0.3332962989807129,satimage
B: A + one SE rule,0.0001826354204788,0.3463687896728515,satimage
