Estimator,MSE,seconds,regret,dataset.eval_model_split
\ensuremath{\tt OCV_{DR}},0.0006998595368548,0.191965103149414,0.0,50
\textsc{Slope},0.0034139105809058,0.0058813095092773,0.002714051044051,50
\ensuremath{\tt PAS{\text -}IF},0.0007005025670631,3.834359407424927,6.43030208279387e-07,50
IPS,8.721868103162561e-06,0.0004727840423583,0.0,100
DM,0.0119917518407273,0.0051028728485107,0.0119830299726242,100
DR,0.0119830944629334,0.0010507106781005,0.0119743725948302,100
\ensuremath{\tt OCV_{IPS}},8.721868103162561e-06,0.1427135467529297,0.0,100
\ensuremath{\tt OCV_{DR}},8.721868103162561e-06,0.2669062614440918,0.0,100
\textsc{Slope},8.721868103162561e-06,0.0051853656768798,0.0,100
\ensuremath{\tt PAS{\text -}IF},0.0119917518407273,4.398454904556274,0.0119830299726242,100
IPS,0.0008291342850947,0.000669240951538,0.0,200
DM,0.0052684039123311,0.0062682628631591,0.0044392696272363,200
DR,0.0052832440907895,0.0010333061218261,0.0044541098056947,200
\ensuremath{\tt OCV_{IPS}},0.0008291342850947,0.1554045677185058,0.0,200
\ensuremath{\tt OCV_{DR}},0.0008291342850947,0.3086597919464111,0.0,200
\textsc{Slope},0.0052684039123311,0.0075612068176269,0.0044392696272363,200
\ensuremath{\tt PAS{\text -}IF},0.0052684039123311,5.2603747844696045,0.0044392696272363,200
IPS,0.0004177473132956,0.000887393951416,0.0,500
DM,0.0053494376459737,0.0073497295379638,0.004931690332678,500
DR,0.0020731388871383,0.0013439655303955,0.0016553915738426,500
\ensuremath{\tt OCV_{IPS}},0.0004177473132956,0.1749248504638672,0.0,500
\ensuremath{\tt OCV_{DR}},0.0004177473132956,0.3473021984100342,0.0,500
\textsc{Slope},0.0020731388871383,0.0102207660675048,0.0016553915738426,500
\ensuremath{\tt PAS{\text -}IF},0.0053494376459737,5.848410844802856,0.004931690332678,500
IPS,2.419750948929416e-05,0.0014955997467041,9.189524531919316e-06,1000
DM,0.0021839503852652,0.0079853534698486,0.0021689424003078,1000
DR,1.500798495737484e-05,0.0019176006317138,0.0,1000
\ensuremath{\tt OCV_{IPS}},2.419750948929416e-05,0.2196850776672363,9.189524531919316e-06,1000
\ensuremath{\tt OCV_{DR}},2.419750948929416e-05,0.4253432750701904,9.189524531919316e-06,1000
\textsc{Slope},1.500798495737484e-05,0.0155427455902099,0.0,1000
\ensuremath{\tt PAS{\text -}IF},0.0021839503852652,9.002950429916382,0.0021689424003078,1000
IPS,4.931567814083941e-06,0.0041730403900146,3.984780424410904e-06,2000
DM,0.0016882814603256,0.0058121681213378,0.0016873346729359,2000
DR,9.467873896730368e-07,0.0024275779724121,0.0,2000
\ensuremath{\tt OCV_{IPS}},4.931567814083941e-06,0.1597435474395752,3.984780424410904e-06,2000
\ensuremath{\tt OCV_{DR}},4.931567814083941e-06,0.2676355838775635,3.984780424410904e-06,2000
\textsc{Slope},9.467873896730368e-07,0.0120775699615478,0.0,2000
\ensuremath{\tt PAS{\text -}IF},0.0016882814603256,15.368069410324097,0.0016873346729359,2000
IPS,4.511201484798076e-06,0.0050249099731445,0.0,5000
DM,0.0025678813338909,0.0160520076751709,0.0025633701324061,5000
DR,3.775256421161303e-05,0.0071876049041748,3.324136272681495e-05,5000
\ensuremath{\tt OCV_{IPS}},4.511201484798076e-06,0.3962464332580566,0.0,5000
\ensuremath{\tt OCV_{DR}},4.511201484798076e-06,0.7083606719970703,0.0,5000
\textsc{Slope},3.775256421161303e-05,0.0435385704040527,3.324136272681495e-05,5000
\ensuremath{\tt PAS{\text -}IF},0.0025678813338909,17.64409637451172,0.0025633701324061,5000
IPS,0.0013761550588909,0.0008361339569091,0.0003575248874744,10
DM,0.0010192036325689,0.0024220943450927,5.73461152501625e-07,10
DR,0.0010186301714164,0.0006673336029052,0.0,10
\ensuremath{\tt OCV_{IPS}},0.0013761550588909,0.0498807430267334,0.0003575248874744,10
\ensuremath{\tt OCV_{DR}},0.0013761550588909,0.0738234519958496,0.0003575248874744,10
\textsc{Slope},0.0010192036325689,0.0043213367462158,5.73461152501625e-07,10
\ensuremath{\tt PAS{\text -}IF},0.0010192036325689,3.903110265731812,5.73461152501625e-07,10
IPS,0.0016135227828401,0.0015144348144531,0.0,20
DM,0.0060925211548453,0.00213623046875,0.0044789983720051,20
DR,0.0060918460147274,0.000746726989746,0.0044783232318873,20
\ensuremath{\tt OCV_{IPS}},0.0016135227828401,0.0877199172973632,0.0,20
\ensuremath{\tt OCV_{DR}},0.0016135227828401,0.1353366374969482,0.0,20
\textsc{Slope},0.0016135227828401,0.0056202411651611,0.0,20
\ensuremath{\tt PAS{\text -}IF},0.0060925211548453,3.499690055847168,0.0044789983720051,20
IPS,0.0002137395604772,0.000415563583374,0.0,50
DM,0.0098632152852116,0.0029036998748779,0.0096494757247343,50
DR,0.009858592557009,0.0008840560913085,0.0096448529965317,50
\ensuremath{\tt OCV_{IPS}},0.0002137395604772,0.0812823772430419,0.0,50
\ensuremath{\tt OCV_{DR}},0.009858592557009,0.1470544338226318,0.0096448529965317,50
\textsc{Slope},0.0098632152852116,0.0060904026031494,0.0096494757247343,50
\ensuremath{\tt PAS{\text -}IF},0.0098632152852116,3.2708516120910645,0.0096494757247343,50
IPS,0.0003704799865293,0.0004410743713378,0.0,100
DM,0.0056634085208078,0.00362229347229,0.0052929285342785,100
DR,0.0056518784061334,0.0019667148590087,0.005281398419604,100
\ensuremath{\tt OCV_{IPS}},0.0003704799865293,0.0768184661865234,0.0,100
\ensuremath{\tt OCV_{DR}},0.0003704799865293,0.1513271331787109,0.0,100
\textsc{Slope},0.0003704799865293,0.0040071010589599,0.0,100
\ensuremath{\tt PAS{\text -}IF},0.0056634085208078,3.858831644058228,0.0052929285342785,100
IPS,1.732030925005767e-05,0.0018045902252197,0.0,200
DM,0.0036811883126506,0.0069351196289062,0.0036638680034005,200
DR,0.0028790178009556,0.0011219978332519,0.0028616974917056,200
\ensuremath{\tt OCV_{IPS}},1.732030925005767e-05,0.1729085445404052,0.0,200
\ensuremath{\tt OCV_{DR}},1.732030925005767e-05,0.339984655380249,0.0,200
\textsc{Slope},0.0036811883126506,0.0109133720397949,0.0036638680034005,200
\ensuremath{\tt PAS{\text -}IF},0.0036811883126506,4.990495443344116,0.0036638680034005,200
IPS,0.0002361786896141,0.0005264282226562,0.0,500
DM,0.002259904029648,0.0036194324493408,0.0020237253400338,500
DR,0.0004801480627539,0.000955581665039,0.0002439693731397,500
\ensuremath{\tt OCV_{IPS}},0.0002361786896141,0.0929577350616455,0.0,500
\ensuremath{\tt OCV_{DR}},0.002259904029648,0.2016272544860839,0.0020237253400338,500
\textsc{Slope},0.0002361786896141,0.0034854412078857,0.0,500
\ensuremath{\tt PAS{\text -}IF},0.002259904029648,6.14345908164978,0.0020237253400338,500
IPS,8.502335563966702e-05,0.0019292831420898,0.0,1000
DM,0.0035228009075259,0.0080411434173583,0.0034377775518863,1000
DR,0.0004284422289694,0.0017435550689697,0.0003434188733298,1000
\ensuremath{\tt OCV_{IPS}},8.502335563966702e-05,0.23103928565979,0.0,1000
\ensuremath{\tt OCV_{DR}},8.502335563966702e-05,0.4423239231109619,0.0,1000
\textsc{Slope},0.0004284422289694,0.0158448219299316,0.0003434188733298,1000
\ensuremath{\tt PAS{\text -}IF},0.0035228009075259,10.411405086517334,0.0034377775518863,1000
IPS,4.325935024386844e-07,0.0024201869964599,0.0,2000
DM,0.0026819559124318,0.0096223354339599,0.0026815233189294,2000
DR,8.425023985121741e-05,0.0034976005554199,8.381764634877873e-05,2000
\ensuremath{\tt OCV_{IPS}},4.325935024386844e-07,0.3464081287384033,0.0,2000
\ensuremath{\tt OCV_{DR}},4.325935024386844e-07,0.5548708438873291,0.0,2000
\textsc{Slope},8.425023985121741e-05,0.0268383026123046,8.381764634877873e-05,2000
\ensuremath{\tt PAS{\text -}IF},0.0026819559124318,12.685708045959473,0.0026815233189294,2000
IPS,5.043870698443245e-06,0.0026075839996337,0.0,5000
DM,0.002283601109608,0.0083274841308593,0.0022785572389096,5000
DR,5.319132400816498e-05,0.0045738220214843,4.8147453309721735e-05,5000
\ensuremath{\tt OCV_{IPS}},5.043870698443245e-06,0.2157785892486572,0.0,5000
\ensuremath{\tt OCV_{DR}},5.319132400816498e-05,0.3810207843780517,4.8147453309721735e-05,5000
\textsc{Slope},5.319132400816498e-05,0.0227322578430175,4.8147453309721735e-05,5000
\ensuremath{\tt PAS{\text -}IF},0.002283601109608,12.139150857925417,0.0022785572389096,5000
IPS,0.0020198035908767,0.0002830028533935,0.0,10
DM,0.0034436203972206,0.0002532005310058,0.0014238168063438,10
DR,0.0034436203972206,0.000303030014038,0.0014238168063438,10
\ensuremath{\tt OCV_{IPS}},0.0034436203972206,0.0175590515136718,0.0014238168063438,10
\ensuremath{\tt OCV_{DR}},0.0020198035908767,0.0205719470977783,0.0,10
\textsc{Slope},0.0034436203972206,0.0028285980224609,0.0014238168063438,10
\ensuremath{\tt PAS{\text -}IF},0.0034436203972206,3.155221462249756,0.0014238168063438,10
IPS,0.0012859343826437,0.00028657913208,0.0,20
DM,0.0435054409621436,0.0020430088043212,0.0422195065794998,20
DR,0.0435034288221228,0.0005419254302978,0.0422174944394791,20
\ensuremath{\tt OCV_{IPS}},0.0012859343826437,0.0471472740173339,0.0,20
\ensuremath{\tt OCV_{DR}},0.0435054409621436,0.0558168888092041,0.0422195065794998,20
\textsc{Slope},0.0012859343826437,0.0019013881683349,0.0,20
\ensuremath{\tt PAS{\text -}IF},0.0435054409621436,2.9933061599731445,0.0422195065794998,20
IPS,0.0003055675956714,0.0108838081359863,0.0,50
DM,0.0032300427319319,0.0026276111602783,0.0029244751362604,50
DR,0.0032265021699909,0.0005877017974853,0.0029209345743195,50
\ensuremath{\tt OCV_{IPS}},0.0003055675956714,0.0832400321960449,0.0,50
\ensuremath{\tt OCV_{DR}},0.0032300427319319,0.181591510772705,0.0029244751362604,50
\textsc{Slope},0.0032300427319319,0.0138053894042968,0.0029244751362604,50
\ensuremath{\tt PAS{\text -}IF},0.0003055675956714,4.58141040802002,0.0,50
IPS,0.000120090959523,0.0006670951843261,0.0,100
DM,0.0057591512951674,0.0049245357513427,0.0056390603356443,100
DR,0.0057477469499307,0.0013754367828369,0.0056276559904076,100
\ensuremath{\tt OCV_{IPS}},0.000120090959523,0.1255571842193603,0.0,100
\ensuremath{\tt OCV_{DR}},0.000120090959523,0.130537748336792,0.0,100
\textsc{Slope},0.000120090959523,0.0022366046905517,0.0,100
\ensuremath{\tt PAS{\text -}IF},0.0057591512951674,5.122544765472412,0.0056390603356443,100
IPS,1.81498315938817e-06,0.000704288482666,0.0,200
DM,0.0003176038964347,0.0058777332305908,0.0003157889132753,200
DR,0.0002516247256009,0.0009701251983642,0.0002498097424415,200
\ensuremath{\tt OCV_{IPS}},1.81498315938817e-06,0.1655220985412597,0.0,200
\ensuremath{\tt OCV_{DR}},0.0003176038964347,0.2151639461517334,0.0003157889132753,200
\textsc{Slope},0.0003176038964347,0.0040483474731445,0.0003157889132753,200
\ensuremath{\tt PAS{\text -}IF},0.0003176038964347,4.58189582824707,0.0003157889132753,200
IPS,2.2302166026443035e-05,0.0011878013610839,0.0,500
DM,0.000864621108055,0.0062646865844726,0.0008423189420286,500
DR,6.739465564149655e-05,0.0020265579223632,4.509248961505352e-05,500
\ensuremath{\tt OCV_{IPS}},2.2302166026443035e-05,0.1510937213897705,0.0,500
\ensuremath{\tt OCV_{DR}},2.2302166026443035e-05,0.354163646697998,0.0,500
\textsc{Slope},0.000864621108055,0.0146663188934326,0.0008423189420286,500
\ensuremath{\tt PAS{\text -}IF},0.000864621108055,6.048591613769531,0.0008423189420286,500
IPS,1.0275835593415037e-05,0.000741958618164,0.0,1000
DM,0.0018772342842917,0.0041751861572265,0.0018669584486983,1000
DR,0.0001024505506211,0.001328706741333,9.217471502769192e-05,1000
\ensuremath{\tt OCV_{IPS}},1.0275835593415037e-05,0.103412389755249,0.0,1000
\ensuremath{\tt OCV_{DR}},1.0275835593415037e-05,0.2002830505371093,0.0,1000
\textsc{Slope},0.0001024505506211,0.0090916156768798,9.217471502769192e-05,1000
\ensuremath{\tt PAS{\text -}IF},0.0018772342842917,8.426074266433716,0.0018669584486983,1000
IPS,2.5276636999696404e-07,0.0011453628540039,0.0,2000
DM,0.002459592205029,0.0047123432159423,0.002459339438659,2000
DR,5.848800020780963e-05,0.0020458698272705,5.8235233837812666e-05,2000
\ensuremath{\tt OCV_{IPS}},2.5276636999696404e-07,0.1313822269439697,0.0,2000
\ensuremath{\tt OCV_{DR}},5.848800020780963e-05,0.4096591472625732,5.8235233837812666e-05,2000
\textsc{Slope},5.848800020780963e-05,0.0434257984161376,5.8235233837812666e-05,2000
\ensuremath{\tt PAS{\text -}IF},0.002459592205029,10.172775983810425,0.002459339438659,2000
IPS,1.945202426708222e-06,0.0024411678314208,0.0,5000
DM,0.001411529467433,0.0087459087371826,0.0014095842650063,5000
DR,3.041105646376009e-05,0.0041167736053466,2.846585403705187e-05,5000
\ensuremath{\tt OCV_{IPS}},1.945202426708222e-06,0.205362319946289,0.0,5000
\ensuremath{\tt OCV_{DR}},3.041105646376009e-05,0.4030566215515136,2.846585403705187e-05,5000
\textsc{Slope},3.041105646376009e-05,0.0225265026092529,2.846585403705187e-05,5000
\ensuremath{\tt PAS{\text -}IF},0.001411529467433,13.84040880203247,0.0014095842650063,5000
IPS,0.0008224117302029,0.0003261566162109,0.0,10
DM,0.0023507790078888,0.000840425491333,0.0015283672776858,10
DR,0.0023506440626102,0.0004053115844726,0.0015282323324072,10
\ensuremath{\tt OCV_{IPS}},0.0023506440626102,0.0186450481414794,0.0015282323324072,10
\ensuremath{\tt OCV_{DR}},0.0008224117302029,0.0261018276214599,0.0,10
\textsc{Slope},0.0023507790078888,0.001939058303833,0.0015283672776858,10
\ensuremath{\tt PAS{\text -}IF},0.0008224117302029,3.1069445610046387,0.0,10
IPS,0.0013756652245119,0.0015437602996826,0.0,20
DM,0.0660772593248604,0.0025763511657714,0.0647015941003485,20
DR,0.0660708563986941,0.0050384998321533,0.0646951911741822,20
\ensuremath{\tt OCV_{IPS}},0.0013756652245119,0.1089296340942382,0.0,20
\ensuremath{\tt OCV_{DR}},0.0013756652245119,0.1900551319122314,0.0,20
\textsc{Slope},0.0013756652245119,0.0059702396392822,0.0,20
\ensuremath{\tt PAS{\text -}IF},0.0660772593248604,3.0603129863739014,0.0647015941003485,20
IPS,8.242327491306857e-05,0.0003526210784912,0.0,50
DM,0.0023835007866142,0.002537727355957,0.0023010775117011,50
DR,0.002379959712892,0.0006139278411865,0.0022975364379789,50
\ensuremath{\tt OCV_{IPS}},8.242327491306857e-05,0.1165924072265625,0.0,50
\ensuremath{\tt OCV_{DR}},0.0023835007866142,0.2233998775482177,0.0023010775117011,50
\textsc{Slope},0.0023835007866142,0.0032465457916259,0.0023010775117011,50
\ensuremath{\tt PAS{\text -}IF},0.0023835007866142,4.104421138763428,0.0023010775117011,50
IPS,0.0002271822835738,0.0011942386627197,0.0001912231589003,100
DM,3.679849425015926e-05,0.0066699981689453,8.393695766837671e-07,100
DR,3.5959124673475495e-05,0.0011518001556396,0.0,100
\ensuremath{\tt OCV_{IPS}},0.0002271822835738,0.1733412742614746,0.0001912231589003,100
\ensuremath{\tt OCV_{DR}},3.679849425015926e-05,0.3558831214904785,8.393695766837671e-07,100
\textsc{Slope},3.679849425015926e-05,0.0080530643463134,8.393695766837671e-07,100
\ensuremath{\tt PAS{\text -}IF},3.679849425015926e-05,5.047283411026001,8.393695766837671e-07,100
IPS,9.49376689748556e-06,0.0007004737854003,0.0,200
DM,0.0321651215274836,0.0062179565429687,0.0321556277605861,200
DR,0.03162135332724,0.0015656948089599,0.0316118595603425,200
\ensuremath{\tt OCV_{IPS}},9.49376689748556e-06,0.1556422710418701,0.0,200
\ensuremath{\tt OCV_{DR}},0.0321651215274836,0.3226864337921142,0.0321556277605861,200
\textsc{Slope},9.49376689748556e-06,0.0050432682037353,0.0,200
\ensuremath{\tt PAS{\text -}IF},0.0321651215274836,5.535408020019531,0.0321556277605861,200
IPS,0.0001624624371023,0.0005602836608886,0.0,500
DM,0.0039954491952798,0.0036964416503906,0.0038329867581774,500
DR,0.0012250357045961,0.0009942054748535,0.0010625732674938,500
\ensuremath{\tt OCV_{IPS}},0.0001624624371023,0.1062257289886474,0.0,500
\ensuremath{\tt OCV_{DR}},0.0001624624371023,0.2287869453430175,0.0,500
\textsc{Slope},0.0012250357045961,0.0060718059539794,0.0010625732674938,500
\ensuremath{\tt PAS{\text -}IF},0.0039954491952798,6.452687978744507,0.0038329867581774,500
IPS,0.0001117431685855,0.0008189678192138,0.0,1000
DM,0.0024184345375953,0.0047407150268554,0.0023066913690098,1000
DR,0.0002114793236184,0.0032680034637451,9.973615503293902e-05,1000
\ensuremath{\tt OCV_{IPS}},0.0001117431685855,0.2305781841278076,0.0,1000
\ensuremath{\tt OCV_{DR}},0.0001117431685855,0.3772065639495849,0.0,1000
\textsc{Slope},0.0002114793236184,0.0103046894073486,9.973615503293902e-05,1000
\ensuremath{\tt PAS{\text -}IF},0.0024184345375953,10.779076337814333,0.0023066913690098,1000
IPS,2.293375739836928e-05,0.0012063980102539,0.0,2000
DM,0.0025640612380048,0.0058188438415527,0.0025411274806064,2000
DR,3.880310363814282e-05,0.0022299289703369,1.586934623977354e-05,2000
\ensuremath{\tt OCV_{IPS}},2.293375739836928e-05,0.1430757045745849,0.0,2000
\ensuremath{\tt OCV_{DR}},2.293375739836928e-05,0.2618162631988525,0.0,2000
\textsc{Slope},3.880310363814282e-05,0.0125131607055664,1.586934623977354e-05,2000
\ensuremath{\tt PAS{\text -}IF},0.0025640612380048,9.88710641860962,0.0025411274806064,2000
IPS,2.5036389190640783e-05,0.0025944709777832,1.5713665182408575e-05,5000
DM,0.0023114635369172,0.0085904598236083,0.002302140812909,5000
DR,9.322724008232209e-06,0.0042963027954101,0.0,5000
\ensuremath{\tt OCV_{IPS}},9.322724008232209e-06,0.2760570049285888,0.0,5000
\ensuremath{\tt OCV_{DR}},2.5036389190640783e-05,0.7462859153747559,1.5713665182408575e-05,5000
\textsc{Slope},9.322724008232209e-06,0.0426521301269531,0.0,5000
\ensuremath{\tt PAS{\text -}IF},0.0023114635369172,13.706613779067991,0.002302140812909,5000
IPS,0.0006025327583629,0.0002973079681396,0.0,10
DM,0.0098341246881823,0.0012629032135009,0.0092315919298193,10
DR,0.0098317809020616,0.0005569458007812,0.0092292481436986,10
\ensuremath{\tt OCV_{IPS}},0.0006025327583629,0.0280890464782714,0.0,10
\ensuremath{\tt OCV_{DR}},0.0098341246881823,0.0394544601440429,0.0092315919298193,10
\textsc{Slope},0.0098341246881823,0.0027401447296142,0.0092315919298193,10
\ensuremath{\tt PAS{\text -}IF},0.0006025327583629,3.341404676437378,0.0,10
IPS,0.01195340942877,0.0005562305450439,0.0104186731339418,20
DM,0.0015347362948281,0.0017051696777343,0.0,20
DR,0.0015349393245139,0.0004763603210449,2.030296857502209e-07,20
\ensuremath{\tt OCV_{IPS}},0.0015349393245139,0.0173707008361816,2.030296857502209e-07,20
\ensuremath{\tt OCV_{DR}},0.0015347362948281,0.0468811988830566,0.0,20
\textsc{Slope},0.0015347362948281,0.0023062229156494,0.0,20
\ensuremath{\tt PAS{\text -}IF},0.0015347362948281,4.780684471130371,0.0,20
IPS,0.0001483278139563,0.0005905628204345,0.0,50
DM,0.0106736659381178,0.0029730796813964,0.0105253381241614,50
DR,0.0106693229744783,0.0009455680847167,0.0105209951605219,50
\ensuremath{\tt OCV_{IPS}},0.0001483278139563,0.1282558441162109,0.0,50
\ensuremath{\tt OCV_{DR}},0.0001483278139563,0.2238180637359619,0.0,50
\textsc{Slope},0.0106736659381178,0.0062682628631591,0.0105253381241614,50
\ensuremath{\tt PAS{\text -}IF},0.0106736659381178,3.5277745723724365,0.0105253381241614,50
IPS,7.641177739732636e-05,0.0003371238708496,0.0,100
DM,0.0001654880038303,0.0264892578125,8.907622643306221e-05,100
DR,0.0001636269252352,0.0010128021240234,8.721514783794319e-05,100
\ensuremath{\tt OCV_{IPS}},7.641177739732636e-05,0.1306643486022949,0.0,100
\ensuremath{\tt OCV_{DR}},7.641177739732636e-05,0.1575777530670166,0.0,100
\textsc{Slope},0.0001654880038303,0.0037009716033935,8.907622643306221e-05,100
\ensuremath{\tt PAS{\text -}IF},0.0001654880038303,4.809388637542725,8.907622643306221e-05,100
IPS,0.0001483478724811,0.0003919601440429,0.0,200
DM,0.001480807477433,0.0031847953796386,0.0013324596049518,200
DR,0.0012641356778979,0.0007808208465576,0.0011157878054168,200
\ensuremath{\tt OCV_{IPS}},0.0001483478724811,0.0794777870178222,0.0,200
\ensuremath{\tt OCV_{DR}},0.0001483478724811,0.1573817729949951,0.0,200
\textsc{Slope},0.001480807477433,0.0038957595825195,0.0013324596049518,200
\ensuremath{\tt PAS{\text -}IF},0.0001483478724811,5.293519735336304,0.0,200
IPS,2.2343998285157527e-05,0.0005519390106201,0.0,500
DM,0.001418511741752,0.0040829181671142,0.0013961677434669,500
DR,9.831088443113349e-05,0.0009794235229492,7.596688614597596e-05,500
\ensuremath{\tt OCV_{IPS}},2.2343998285157527e-05,0.1447126865386963,0.0,500
\ensuremath{\tt OCV_{DR}},2.2343998285157527e-05,0.1807508468627929,0.0,500
