Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
DR,0.0010076730823867955,0.0006418228149414062,vehicle
\ensuremath{\tt OCV_{DM}},0.0020916065569712887,0.07969856262207031,vehicle
IPS,0.00030995880427171546,0.0005280971527099609,yeast
DM,0.001827942797730942,0.0028162002563476562,yeast
DR,0.000891054192609035,0.0008192062377929688,yeast
\ensuremath{\tt OCV_{DM}},0.001827942797730942,0.0868983268737793,yeast
IPS,0.0004359107081136391,0.0003948211669921875,ecoli
DM,0.00017992500684814049,0.002621889114379883,ecoli
DR,0.0016331753542208202,0.0007107257843017578,ecoli
\ensuremath{\tt OCV_{DM}},0.00017992500684814049,0.07658910751342773,ecoli
IPS,0.0010848291853236063,0.00025177001953125,glass
DM,0.00321927094347576,0.0015940666198730469,glass
DR,0.000137114086461283,0.0003910064697265625,glass
\ensuremath{\tt OCV_{DM}},0.00321927094347576,0.05650806427001953,glass
IPS,0.0006617494302479293,0.00990915298461914,letter
DM,0.1529098383157824,0.02327585220336914,letter
DR,0.0010455133868964772,0.018659591674804688,letter
\ensuremath{\tt OCV_{DM}},0.1529098383157824,0.8525364398956299,letter
IPS,4.8085378978144295e-05,0.0016360282897949219,optdigits
DM,0.01472629199412224,0.010150671005249023,optdigits
DR,4.774455475504766e-05,0.006129026412963867,optdigits
\ensuremath{\tt OCV_{DM}},0.01472629199412224,0.3033452033996582,optdigits
IPS,0.0016425202408573178,0.0009610652923583984,page-blocks
DM,0.0002654816388127121,0.003190755844116211,page-blocks
DR,0.00018856186101818515,0.001268148422241211,page-blocks
\ensuremath{\tt OCV_{DM}},0.0002654816388127121,0.13254785537719727,page-blocks
IPS,0.00014348558936603267,0.0020394325256347656,pendigits
DM,0.048755136754650256,0.0072786808013916016,pendigits
DR,1.4807532753393768e-06,0.005122184753417969,pendigits
\ensuremath{\tt OCV_{DM}},0.048755136754650256,0.29239773750305176,pendigits
IPS,0.0001666989826052009,0.0014147758483886719,satimage
DM,0.01775280132439797,0.00590062141418457,satimage
DR,0.0001826354204788772,0.002765178680419922,satimage
\ensuremath{\tt OCV_{DM}},0.01775280132439797,0.18850445747375488,satimage
IPS,0.004006632570595457,0.00039958953857421875,vehicle
DM,0.010082673582367285,0.002081155776977539,vehicle
DR,0.0016031785498336313,0.0006308555603027344,vehicle
\ensuremath{\tt OCV_{DM}},0.010082673582367285,0.08965778350830078,vehicle
IPS,0.005872134146807726,0.0005662441253662109,yeast
DM,3.78576780979575e-08,0.003840923309326172,yeast
DR,0.0014844226541727119,0.0009119510650634766,yeast
\ensuremath{\tt OCV_{DM}},3.78576780979575e-08,0.12691473960876465,yeast
IPS,0.0008312570356259244,0.0002732276916503906,ecoli
DM,0.0019935766735365264,0.0018534660339355469,ecoli
DR,0.0003544884624010023,0.0004799365997314453,ecoli
\ensuremath{\tt OCV_{DM}},0.0019935766735365264,0.05367732048034668,ecoli
IPS,0.05812156077878284,0.0002865791320800781,glass
DM,0.006984549451619526,0.0022754669189453125,glass
DR,0.010624074036467267,0.0005221366882324219,glass
\ensuremath{\tt OCV_{DM}},0.010624074036467267,0.07911491394042969,glass
IPS,2.957790484787812e-06,0.012785673141479492,letter
DM,0.15101435721088352,0.028192996978759766,letter
DR,0.00018379146597376962,0.020115137100219727,letter
\ensuremath{\tt OCV_{DM}},0.15101435721088352,0.7338159084320068,letter
IPS,0.0033257392371219396,0.0015988349914550781,optdigits
DM,0.015014263995191108,0.00897526741027832,optdigits
DR,0.00010342422715608849,0.00423431396484375,optdigits
\ensuremath{\tt OCV_{DM}},0.015014263995191108,0.2877776622772217,optdigits
IPS,7.076372739066311e-06,0.0009696483612060547,page-blocks
DM,0.0014765491828198452,0.0026731491088867188,page-blocks
DR,3.839932495592234e-05,0.001256704330444336,page-blocks
\ensuremath{\tt OCV_{DM}},0.0014765491828198452,0.11275482177734375,page-blocks
IPS,0.00023347440706358201,0.0023674964904785156,pendigits
DM,0.04977936888026879,0.008306264877319336,pendigits
DR,1.9512475950344206e-05,0.004270076751708984,pendigits
\ensuremath{\tt OCV_{DM}},0.04977936888026879,0.3102607727050781,pendigits
IPS,0.0013729720734091584,0.0011868476867675781,satimage
DM,0.017417267003537667,0.0047948360443115234,satimage
DR,9.196758702785468e-05,0.002691030502319336,satimage
\ensuremath{\tt OCV_{DM}},0.017417267003537667,0.18925690650939941,satimage
IPS,5.0529080513938375e-05,0.0003464221954345703,vehicle
DM,0.009469083699251748,0.002017498016357422,vehicle
DR,1.4293639844229022e-06,0.0005457401275634766,vehicle
\ensuremath{\tt OCV_{DM}},0.009469083699251748,0.08829665184020996,vehicle
IPS,0.0005016881965243925,0.0004687309265136719,yeast
DM,0.005523451812843188,0.0033173561096191406,yeast
DR,0.0021346976863591918,0.0008647441864013672,yeast
\ensuremath{\tt OCV_{DM}},0.005523451812843188,0.11675739288330078,yeast
IPS,0.024545423172238876,0.0003921985626220703,ecoli
DM,0.0014402782415251602,0.002492189407348633,ecoli
DR,2.244374770939444e-05,0.0007526874542236328,ecoli
\ensuremath{\tt OCV_{DM}},0.0014402782415251602,0.07291650772094727,ecoli
IPS,0.028799554211572695,0.0002486705780029297,glass
DM,0.006439111931198156,0.0014641284942626953,glass
DR,0.013517306042408181,0.0003826618194580078,glass
\ensuremath{\tt OCV_{DM}},0.006439111931198156,0.055928945541381836,glass
IPS,2.149310475345443e-06,0.009500503540039062,letter
DM,0.14844126039318495,0.023955821990966797,letter
DR,0.00012937173431584883,0.022362947463989258,letter
\ensuremath{\tt OCV_{DM}},0.14844126039318495,0.71246337890625,letter
IPS,0.0029187114482392192,0.0014903545379638672,optdigits
