Estimator,MSE,seconds,dataset.kwargs.dataset
\ensuremath{\tt OCV_{IPS}},0.0025287269942544,0.2904603481292724,page-blocks
\ensuremath{\tt OCV_{DR}},1.0344897819662157e-06,0.5820391178131104,page-blocks
\textsc{Slope},1.0344897819662157e-06,0.0204753875732421,page-blocks
\ensuremath{\tt PAS{\text -}IF},0.0009965318585085,17.60849618911743,page-blocks
IPS,4.979522984284117e-06,0.0172204971313476,pendigits
DM,0.0469150050506894,0.0339395999908447,pendigits
DR,1.2457138264014658e-06,0.0289561748504638,pendigits
\ensuremath{\tt OCV_{IPS}},1.2457138264014658e-06,1.0133764743804932,pendigits
\ensuremath{\tt OCV_{DR}},1.2457138264014658e-06,1.5095453262329102,pendigits
\textsc{Slope},1.2457138264014658e-06,0.0631194114685058,pendigits
\ensuremath{\tt PAS{\text -}IF},0.0469150050506894,25.175387620925903,pendigits
IPS,0.0003273846917667,0.0048422813415527,satimage
DM,0.0161047692102752,0.0242612361907959,satimage
DR,4.644407138799741e-06,0.0133497714996337,satimage
\ensuremath{\tt OCV_{IPS}},4.644407138799741e-06,0.6494088172912598,satimage
\ensuremath{\tt OCV_{DR}},4.644407138799741e-06,1.2694122791290283,satimage
\textsc{Slope},4.644407138799741e-06,0.021308422088623,satimage
\ensuremath{\tt PAS{\text -}IF},0.0161047692102752,23.73862886428833,satimage
IPS,2.6518333325831574e-07,0.0008184909820556,vehicle
DM,0.0066640708032193,0.0044381618499755,vehicle
DR,0.0005057713069394,0.0016310214996337,vehicle
\ensuremath{\tt OCV_{IPS}},2.6518333325831574e-07,0.2816345691680908,vehicle
\ensuremath{\tt OCV_{DR}},0.0005057713069394,0.5273971557617188,vehicle
\textsc{Slope},0.0066640708032193,0.0099613666534423,vehicle
\ensuremath{\tt PAS{\text -}IF},0.0066640708032193,9.835543870925903,vehicle
IPS,0.0013433916100758,0.0075328350067138,yeast
DM,0.0003833087442542,0.0101816654205322,yeast
DR,3.689287810014905e-05,0.0331556797027587,yeast
\ensuremath{\tt OCV_{IPS}},3.689287810014905e-05,0.3502027988433838,yeast
\ensuremath{\tt OCV_{DR}},3.689287810014905e-05,0.6591489315032959,yeast
\textsc{Slope},0.0003833087442542,0.0196881294250488,yeast
\ensuremath{\tt PAS{\text -}IF},0.0003833087442542,14.358803272247314,yeast
IPS,0.0522554867143505,0.0012316703796386,ecoli
DM,0.0014817927380868,0.0022964477539062,ecoli
DR,0.0049419019083886,0.005336046218872,ecoli
\ensuremath{\tt OCV_{IPS}},0.0522554867143505,0.1918580532073974,ecoli
\ensuremath{\tt OCV_{DR}},0.0049419019083886,0.5680863857269287,ecoli
\textsc{Slope},0.0014817927380868,0.0163023471832275,ecoli
\ensuremath{\tt PAS{\text -}IF},0.0014817927380868,10.87081742286682,ecoli
IPS,0.0179845424330408,0.0023853778839111,glass
DM,0.0090785994276703,0.0029942989349365,glass
DR,0.0132430610492505,0.0101149082183837,glass
\ensuremath{\tt OCV_{IPS}},0.0179845424330408,0.2008919715881347,glass
\ensuremath{\tt OCV_{DR}},0.0132430610492505,0.4595518112182617,glass
\textsc{Slope},0.0090785994276703,0.0074539184570312,glass
\ensuremath{\tt PAS{\text -}IF},0.0090785994276703,7.294724702835083,glass
IPS,7.477705036832157e-05,0.0644116401672363,letter
DM,0.1461446352448466,0.1029558181762695,letter
DR,0.0002639441310773,0.1093688011169433,letter
\ensuremath{\tt OCV_{IPS}},7.477705036832157e-05,2.901620864868164,letter
\ensuremath{\tt OCV_{DR}},0.0002639441310773,5.822235345840454,letter
\textsc{Slope},0.0002639441310773,0.3120081424713135,letter
\ensuremath{\tt PAS{\text -}IF},0.1461446352448466,52.00110149383545,letter
IPS,0.0019341264590284,0.008542776107788,optdigits
DM,0.015692264884258,0.0640609264373779,optdigits
DR,5.590880013271977e-06,0.0161736011505126,optdigits
\ensuremath{\tt OCV_{IPS}},0.0019341264590284,0.4385058879852295,optdigits
\ensuremath{\tt OCV_{DR}},5.590880013271977e-06,2.368666172027588,optdigits
\textsc{Slope},5.590880013271977e-06,0.0201058387756347,optdigits
\ensuremath{\tt PAS{\text -}IF},0.015692264884258,24.89561653137207,optdigits
IPS,5.359800920399829e-06,0.0038721561431884,page-blocks
DM,0.0025774554926299,0.004115343093872,page-blocks
DR,0.0001320873922356,0.0096001625061035,page-blocks
\ensuremath{\tt OCV_{IPS}},5.359800920399829e-06,0.3991742134094238,page-blocks
\ensuremath{\tt OCV_{DR}},0.0001320873922356,0.7835667133331299,page-blocks
\textsc{Slope},0.0001320873922356,0.0292038917541503,page-blocks
\ensuremath{\tt PAS{\text -}IF},0.0025774554926299,21.629904985427856,page-blocks
IPS,0.0005506841089867,0.0262057781219482,pendigits
DM,0.0441232254188846,0.0187394618988037,pendigits
DR,3.937220527565677e-06,0.0266273021697998,pendigits
\ensuremath{\tt OCV_{IPS}},0.0005506841089867,0.803870677947998,pendigits
\ensuremath{\tt OCV_{DR}},3.937220527565677e-06,1.6907801628112793,pendigits
\textsc{Slope},3.937220527565677e-06,0.081369400024414,pendigits
\ensuremath{\tt PAS{\text -}IF},0.0441232254188846,30.31114840507508,pendigits
IPS,9.083694177370988e-05,0.0040738582611083,satimage
DM,0.014197513530981,0.019721508026123,satimage
DR,1.1369923894966977e-06,0.0166022777557373,satimage
\ensuremath{\tt OCV_{IPS}},9.083694177370988e-05,0.5065960884094238,satimage
\ensuremath{\tt OCV_{DR}},1.1369923894966977e-06,0.659142017364502,satimage
\textsc{Slope},1.1369923894966977e-06,0.0245275497436523,satimage
\ensuremath{\tt PAS{\text -}IF},0.014197513530981,27.758289337158203,satimage
IPS,0.0003287930554176,0.0011711120605468,vehicle
DM,0.002091606556971,0.0065784454345703,vehicle
DR,0.0010076730823868,0.0023534297943115,vehicle
\ensuremath{\tt OCV_{IPS}},0.0003287930554176,0.2425246238708496,vehicle
\ensuremath{\tt OCV_{DR}},0.0010076730823868,0.5752711296081543,vehicle
\textsc{Slope},0.002091606556971,0.0169439315795898,vehicle
\ensuremath{\tt PAS{\text -}IF},0.002091606556971,8.909581899642944,vehicle
IPS,0.0003099588042717,0.0029850006103515,yeast
DM,0.0018279427977309,0.0154788494110107,yeast
DR,0.000891054192609,0.0096645355224609,yeast
\ensuremath{\tt OCV_{IPS}},0.0003099588042717,0.409844160079956,yeast
\ensuremath{\tt OCV_{DR}},0.000891054192609,1.0135629177093506,yeast
\textsc{Slope},0.0018279427977309,0.0268137454986572,yeast
\ensuremath{\tt PAS{\text -}IF},0.0018279427977309,16.03439164161682,yeast
IPS,0.0004359107081136,0.0072801113128662,ecoli
DM,0.0001799250068481,0.002979040145874,ecoli
DR,0.0016331753542208,0.0138113498687744,ecoli
\ensuremath{\tt OCV_{IPS}},0.0004359107081136,0.2091286182403564,ecoli
\ensuremath{\tt OCV_{DR}},0.0016331753542208,0.5867652893066406,ecoli
\textsc{Slope},0.0001799250068481,0.0076723098754882,ecoli
\ensuremath{\tt PAS{\text -}IF},0.0001799250068481,9.714590549468994,ecoli
IPS,0.0010848291853236,0.0008862018585205,glass
DM,0.0032192709434754,0.0022830963134765,glass
DR,0.0001371140864612,0.0077290534973144,glass
\ensuremath{\tt OCV_{IPS}},0.0001371140864612,0.1711189746856689,glass
\ensuremath{\tt OCV_{DR}},0.0001371140864612,0.4709992408752441,glass
\textsc{Slope},0.0032192709434754,0.0053677558898925,glass
\ensuremath{\tt PAS{\text -}IF},0.0032192709434754,6.843831062316895,glass
IPS,0.0006617494302479,0.0960063934326171,letter
DM,0.1529098383157824,0.125413179397583,letter
DR,0.0010455133868964,0.141230821609497,letter
\ensuremath{\tt OCV_{IPS}},0.0006617494302479,3.557634830474853,letter
