Estimator,MSE,seconds,dataset.kwargs.dataset
IPS,2.7021886154936746e-06,0.0020461082458496,page-blocks
DM,0.0002370603867997,0.003857135772705,page-blocks
DR,1.398338109368346e-05,0.0047903060913085,page-blocks
\ensuremath{\tt OCV_{IPS}},2.7021886154936746e-06,0.2731733322143554,page-blocks
\ensuremath{\tt OCV_{DR}},2.7021886154936746e-06,0.5331325531005859,page-blocks
\textsc{Slope},1.398338109368346e-05,0.0145182609558105,page-blocks
\ensuremath{\tt PAS{\text -}IF},0.0002370603867997,22.69383144378662,page-blocks
IPS,1.2866785417189703e-06,0.0126953125,pendigits
DM,0.0036044649206901,0.0328476428985595,pendigits
DR,1.4237852549466165e-05,0.0281012058258056,pendigits
\ensuremath{\tt OCV_{IPS}},1.2866785417189703e-06,1.2640886306762695,pendigits
\ensuremath{\tt OCV_{DR}},1.2866785417189703e-06,1.4443786144256592,pendigits
\textsc{Slope},1.4237852549466165e-05,0.063554048538208,pendigits
\ensuremath{\tt PAS{\text -}IF},0.0036044649206901,26.474087476730347,pendigits
IPS,2.104869206706532e-07,0.038694143295288,satimage
DM,0.0052863291811326,0.0260481834411621,satimage
DR,0.000214325426455,0.0160624980926513,satimage
\ensuremath{\tt OCV_{IPS}},2.104869206706532e-07,0.5943729877471924,satimage
\ensuremath{\tt OCV_{DR}},0.000214325426455,1.1371450424194336,satimage
\textsc{Slope},2.104869206706532e-07,0.0265910625457763,satimage
\ensuremath{\tt PAS{\text -}IF},0.0052863291811326,25.90582847595215,satimage
IPS,2.935124014214681e-05,0.0018527507781982,vehicle
DM,0.003546484523964,0.0065512657165527,vehicle
DR,2.238655059687616e-05,0.0024185180664062,vehicle
\ensuremath{\tt OCV_{IPS}},2.238655059687616e-05,0.2776196002960205,vehicle
\ensuremath{\tt OCV_{DR}},2.935124014214681e-05,0.4029834270477295,vehicle
\textsc{Slope},2.238655059687616e-05,0.0085697174072265,vehicle
\ensuremath{\tt PAS{\text -}IF},0.003546484523964,7.625236988067627,vehicle
IPS,1.5546487509633305e-06,0.0016086101531982,yeast
DM,3.987285868745571e-06,0.0068867206573486,yeast
DR,4.1048731779576166e-08,0.0040373802185058,yeast
\ensuremath{\tt OCV_{IPS}},4.1048731779576166e-08,0.3807101249694824,yeast
\ensuremath{\tt OCV_{DR}},1.5546487509633305e-06,0.7291977405548096,yeast
\textsc{Slope},3.987285868745571e-06,0.0151090621948242,yeast
\ensuremath{\tt PAS{\text -}IF},1.5546487509633305e-06,14.83222198486328,yeast
IPS,5.075128604596766e-05,0.0007600784301757,ecoli
DM,0.000169524363138,0.0025434494018554,ecoli
DR,0.0001503273209605,0.015355110168457,ecoli
\ensuremath{\tt OCV_{IPS}},5.075128604596766e-05,0.3475010395050049,ecoli
\ensuremath{\tt OCV_{DR}},5.075128604596766e-05,0.522808313369751,ecoli
\textsc{Slope},0.000169524363138,0.0140573978424072,ecoli
\ensuremath{\tt PAS{\text -}IF},5.075128604596766e-05,10.066287994384766,ecoli
IPS,0.0002210891891162,0.0026018619537353,glass
DM,0.00257170048359,0.0024354457855224,glass
DR,0.0018289508937237,0.0047481060028076,glass
